epoch,loss,calssify loss,regress loss z,regress loss h,regress loss w,regress loss d,true positive,total positive,true negative,total negative,time,,false negative,false positive,,ACC,TPR,TNR,FPR,FNR,PPV,NPV,F1_Score
23,0.025668219,0.008303713,0.0040626894,0.003832388,0.0042465124,0.005222915,1438.0,1527.0,6060.0,6108.0,1011.026,,89.0,48.0,,0.9820563,0.9417158,0.9921414,0.007858574390411377,0.058284223079681396,0.9676985,0.9855261,0.9545303686107945
24,0.024908423,0.008381883,0.003912805,0.003691263,0.0037027218,0.005219751,1434.0,1527.0,6058.0,6108.0,1011.25,,93.0,50.0,,0.9812705,0.9390963,0.991814,0.008185982704162598,0.060903728008270264,0.9663073,0.9848805,0.9525074444664947
25,0.024178827,0.007930126,0.0037394296,0.003524935,0.003927312,0.0050570234,1446.0,1527.0,6066.0,6108.0,1010.961,,81.0,42.0,,0.98389,0.9469548,0.99312377,0.006876230239868164,0.05304521322250366,0.9717742,0.98682284,0.9592039770703128
26,0.023428354,0.0076515,0.0035387753,0.0034196982,0.0038418146,0.0049765664,1449.0,1527.0,6057.0,6108.0,1011.432,,78.0,51.0,,0.9831041,0.9489195,0.9916503,0.008349716663360596,0.051080524921417236,0.966,0.9872861,0.9573835953277705
27,0.022726994,0.007088768,0.0036332621,0.003242012,0.003754266,0.0050086854,1447.0,1527.0,6070.0,6108.0,1011.085,,80.0,38.0,,0.9845449,0.94760966,0.99377865,0.006221354007720947,0.052390336990356445,0.9744108,0.9869919,0.9608233565356884
28,0.021448836,0.006765459,0.0032714168,0.0030317337,0.003828146,0.0045520817,1457.0,1527.0,6061.0,6108.0,1011.196,,70.0,47.0,,0.9846758,0.9541585,0.99230516,0.007694840431213379,0.0458415150642395,0.96875,0.9885826,0.9613988409305437
29,0.022209767,0.0067009344,0.0034437233,0.0033329518,0.0036852006,0.0050469534,1460.0,1527.0,6067.0,6108.0,1011.406,,67.0,41.0,,0.9858546,0.9561231,0.9932875,0.006712496280670166,0.04387688636779785,0.97268486,0.98907727,0.9643329109603984
30,0.021687765,0.0064385645,0.0032479449,0.0033619592,0.0037543136,0.004884983,1458.0,1527.0,6064.0,6108.0,1011.593,,69.0,44.0,,0.98519975,0.95481336,0.99279636,0.007203638553619385,0.045186638832092285,0.97070575,0.9887494,0.9626939608139335
31,0.021597365,0.0069732177,0.0029891208,0.0031813744,0.003703985,0.0047496664,1444.0,1527.0,6059.0,6108.0,1011.148,,83.0,49.0,,0.9827112,0.94564503,0.99197775,0.0080222487449646,0.054354965686798096,0.9671802,0.9864865,0.9562913761181099
32,0.022072734,0.0071644634,0.0035273465,0.0031447026,0.00369671,0.0045395126,1459.0,1527.0,6047.0,6108.0,1010.687,,68.0,61.0,,0.9831041,0.95546824,0.9900131,0.00998687744140625,0.04453176259994507,0.95986843,0.9888798,0.9576633060741614
33,0.021080142,0.0067180786,0.0032040055,0.0030378036,0.0036016603,0.0045185955,1455.0,1527.0,6060.0,6108.0,1011.598,,72.0,48.0,,0.9842829,0.95284873,0.9921414,0.007858574390411377,0.047151267528533936,0.9680639,0.9882583,0.9603960783138261
34,0.021291552,0.006603867,0.0031820317,0.003040062,0.0038744777,0.004591114,1452.0,1527.0,6059.0,6108.0,1011.01,,75.0,49.0,,0.983759,0.9508841,0.99197775,0.0080222487449646,0.049115896224975586,0.9673551,0.98777306,0.9590488831394943
35,0.020418702,0.006015811,0.0031315167,0.0029899932,0.0034762134,0.004805165,1461.0,1527.0,6072.0,6108.0,1011.422,,66.0,36.0,,0.98664045,0.956778,0.9941061,0.005893886089324951,0.043222010135650635,0.9759519,0.9892473,0.9662697896257267
36,0.021818025,0.0068728672,0.0032174364,0.0031820321,0.0038383175,0.0047073727,1462.0,1527.0,6054.0,6108.0,1011.293,,65.0,54.0,,0.98441386,0.95743287,0.99115914,0.008840858936309814,0.04256713390350342,0.96437997,0.9893773,0.960893868956502
37,0.021159658,0.007083644,0.0030245308,0.0030295756,0.003373527,0.0046483814,1449.0,1527.0,6051.0,6108.0,1011.339,,78.0,57.0,,0.9823183,0.9489195,0.990668,0.009332001209259033,0.051080524921417236,0.9621514,0.98727363,0.9554896744004076
38,0.020579455,0.006591889,0.0029861054,0.0030118378,0.0034981205,0.0044915024,1448.0,1527.0,6065.0,6108.0,1011.479,,79.0,43.0,,0.98402095,0.9482646,0.99296004,0.007039964199066162,0.05173540115356445,0.9711603,0.9871419,0.9595758802874526
39,0.019776674,0.0063194786,0.002679846,0.002857406,0.0034681803,0.0044517624,1462.0,1527.0,6067.0,6108.0,1011.629,,65.0,41.0,,0.9861166,0.95743287,0.9932875,0.006712496280670166,0.04256713390350342,0.9727212,0.98939985,0.9650164724204459
40,0.020476177,0.006708034,0.0029765144,0.0028878907,0.0036120862,0.004291654,1466.0,1527.0,6065.0,6108.0,1011.576,,61.0,43.0,,0.9863785,0.9600524,0.99296004,0.007039964199066162,0.03994762897491455,0.97150433,0.99004245,0.9657443971118563
41,0.01983885,0.006102153,0.0029539354,0.0031012653,0.0034888398,0.0041926564,1465.0,1527.0,6059.0,6108.0,1011.808,,62.0,49.0,,0.9854617,0.9593975,0.99197775,0.0080222487449646,0.04060250520706177,0.9676354,0.98987097,0.963498826238512
42,0.0191617,0.005753008,0.0031750794,0.002964694,0.0033739654,0.0038949512,1467.0,1527.0,6065.0,6108.0,1011.045,,60.0,43.0,,0.9865095,0.96070725,0.99296004,0.007039964199066162,0.039292752742767334,0.97152317,0.9902041,0.9660849305596172
43,0.018885687,0.005687099,0.0026546589,0.00294298,0.0033614985,0.004239451,1470.0,1527.0,6067.0,6108.0,1010.761,,57.0,41.0,,0.9871644,0.9626719,0.9932875,0.006712496280670166,0.037328124046325684,0.97286564,0.9906924,0.9677418719073473
44,0.019419087,0.006377308,0.0028041569,0.0029202614,0.003153133,0.0041642278,1469.0,1527.0,6061.0,6108.0,1011.225,,58.0,47.0,,0.98624754,0.962017,0.99230516,0.007694840431213379,0.0379830002784729,0.96899736,0.9905213,0.9654945679612004
45,0.019133694,0.006038146,0.0027571372,0.0029074873,0.0033735563,0.004057367,1473.0,1527.0,6062.0,6108.0,1011.152,,54.0,46.0,,0.9869024,0.96463656,0.9924689,0.007531106472015381,0.03536343574523926,0.9697169,0.9911707,0.9671700664584357
46,0.019360103,0.005734593,0.0029542914,0.0028377292,0.0035918846,0.0042416053,1471.0,1527.0,6067.0,6108.0,1011.775,,56.0,41.0,,0.9872953,0.9633268,0.9932875,0.006712496280670166,0.03667318820953369,0.9728836,0.99085414,0.9680816100863743
47,0.018656489,0.0058241696,0.0028204161,0.0026673577,0.0033166264,0.004027919,1470.0,1527.0,6066.0,6108.0,1011.212,,57.0,42.0,,0.9870334,0.9626719,0.99312377,0.006876230239868164,0.037328124046325684,0.9722222,0.9906908,0.9674234622145629
48,0.019119488,0.0058397474,0.002968075,0.002731777,0.0034476381,0.0041322503,1470.0,1527.0,6061.0,6108.0,1011.132,,57.0,47.0,,0.9863785,0.9626719,0.99230516,0.007694840431213379,0.037328124046325684,0.9690178,0.99068326,0.9658343879989544
49,0.01825138,0.004892098,0.0028479956,0.0028655122,0.0033522248,0.0042935503,1478.0,1527.0,6072.0,6108.0,1011.077,,49.0,36.0,,0.98886704,0.96791095,0.9941061,0.005893886089324951,0.032089054584503174,0.9762219,0.9919948,0.9720486801784191
50,0.018878022,0.0060055214,0.0027216384,0.0026393053,0.0034288357,0.0040827226,1468.0,1527.0,6065.0,6108.0,1011.601,,59.0,43.0,,0.98664045,0.9613621,0.99296004,0.007039964199066162,0.03863787651062012,0.971542,0.9903658,0.9664252245307019
51,0.01728174,0.0046994677,0.002772185,0.0026478975,0.0031733909,0.0039887982,1481.0,1527.0,6069.0,6108.0,1011.358,,46.0,39.0,,0.98886704,0.9698756,0.9936149,0.006385087966918945,0.030124425888061523,0.9743421,0.99247754,0.9721037348061963
52,0.019307634,0.0061379583,0.0028477116,0.0026914664,0.0033933257,0.0042371713,1474.0,1527.0,6062.0,6108.0,1010.902,,53.0,46.0,,0.9870334,0.96529144,0.9924689,0.007531106472015381,0.03470855951309204,0.9697368,0.99133277,0.9675090132609308
53,0.019000115,0.005776326,0.0028672786,0.0029211903,0.0033152252,0.0041200933,1472.0,1527.0,6065.0,6108.0,1010.757,,55.0,43.0,,0.9871644,0.9639817,0.99296004,0.007039964199066162,0.036018311977386475,0.97161716,0.99101305,0.9677843416694484
54,0.018098628,0.0056756926,0.0025256178,0.0027103436,0.0032769805,0.0039099935,1465.0,1527.0,6062.0,6108.0,1010.929,,62.0,46.0,,0.9858546,0.9593975,0.9924689,0.007531106472015381,0.04060250520706177,0.96955657,0.9898759,0.9644502522674405
55,0.01802073,0.005406262,0.0027722353,0.0026790414,0.0030845043,0.0040786862,1471.0,1527.0,6060.0,6108.0,1011.862,,56.0,48.0,,0.9863785,0.9633268,0.9921414,0.007858574390411377,0.03667318820953369,0.96840024,0.9908437,0.9658568937111979
56,0.018398892,0.005362269,0.0028014323,0.0030087915,0.0033339963,0.0038924022,1465.0,1527.0,6061.0,6108.0,1011.53,,62.0,47.0,,0.9857236,0.9593975,0.99230516,0.007694840431213379,0.04060250520706177,0.96891534,0.98987424,0.9641329734555072
57,0.01803446,0.0052336347,0.0026228267,0.002780196,0.003430623,0.00396718,1482.0,1527.0,6067.0,6108.0,1010.813,,45.0,41.0,,0.9887361,0.97053045,0.9932875,0.006712496280670166,0.029469549655914307,0.97307944,0.99263746,0.971803246553553
58,0.018420238,0.0054269694,0.0028437444,0.0028765479,0.0033625565,0.00391042,1475.0,1527.0,6057.0,6108.0,1011.382,,52.0,51.0,,0.9865095,0.9659463,0.9916503,0.008349716663360596,0.034053683280944824,0.9665793,0.991488,0.9662627072641137
59,0.018294215,0.0057741627,0.0027802822,0.002691109,0.0031726228,0.0038760384,1470.0,1527.0,6057.0,6108.0,1011.461,,57.0,51.0,,0.9858546,0.9626719,0.9916503,0.008349716663360596,0.037328124046325684,0.9664694,0.9906771,0.9645669077249254
