epoch,loss,calssify loss,"regression 
loss z","regression 
loss h","regression 
loss w","regression 
loss d","true 
positive","total
positive","true 
negative","total 
negative",time,,"false 
negative","false 
positive",,Accuracy,"True Positive Rate
(Sensitivity)","True Negative Rate
(Specificity)","False Negative 
Rate","False Positive 
Rate","Positive 
Predictive
Value","Negative 
Predictive
Value",F1,
143,0.0170 ,0.0050 ,0.0028 ,0.0027 ,0.0031 ,0.0035 ,1537,1590,6326,6360,1053.03 ,,53,34,,0.9891 ,0.9667 ,0.9947 ,0.0333 ,0.0053 ,0.9784 ,0.9917 ,0.9725 ,
144,0.0166 ,0.0050 ,0.0026 ,0.0024 ,0.0030 ,0.0035 ,1542,1590,6330,6360,1053.12 ,,48,30,,0.9902 ,0.9698 ,0.9953 ,0.0302 ,0.0047 ,0.9809 ,0.9925 ,0.9753 ,
145,0.0173 ,0.0054 ,0.0027 ,0.0025 ,0.0032 ,0.0034 ,1542,1590,6320,6360,1052.78 ,,48,40,,0.9889 ,0.9698 ,0.9937 ,0.0302 ,0.0063 ,0.9747 ,0.9925 ,0.9723 ,
146,0.0164 ,0.0052 ,0.0026 ,0.0023 ,0.0030 ,0.0033 ,1540,1590,6320,6360,1052.71 ,,50,40,,0.9887 ,0.9686 ,0.9937 ,0.0314 ,0.0063 ,0.9747 ,0.9922 ,0.9716 ,
147,0.0167 ,0.0048 ,0.0027 ,0.0026 ,0.0033 ,0.0033 ,1543,1590,6330,6360,1051.95 ,,47,30,,0.9903 ,0.9704 ,0.9953 ,0.0296 ,0.0047 ,0.9809 ,0.9926 ,0.9757 ,
148,0.0169 ,0.0054 ,0.0026 ,0.0026 ,0.0033 ,0.0030 ,1535,1590,6320,6360,1052.43 ,,55,40,,0.9881 ,0.9654 ,0.9937 ,0.0346 ,0.0063 ,0.9746 ,0.9914 ,0.9700 ,
149,0.0167 ,0.0049 ,0.0028 ,0.0027 ,0.0029 ,0.0033 ,1537,1590,6328,6360,1052.75 ,,53,32,,0.9893 ,0.9667 ,0.9950 ,0.0333 ,0.0050 ,0.9796 ,0.9917 ,0.9731 ,
150,0.0156 ,0.0047 ,0.0024 ,0.0024 ,0.0029 ,0.0032 ,1544,1590,6325,6360,1053.01 ,,46,35,,0.9898 ,0.9711 ,0.9945 ,0.0289 ,0.0055 ,0.9778 ,0.9928 ,0.9744 ,
151,0.0159 ,0.0045 ,0.0028 ,0.0024 ,0.0030 ,0.0031 ,1467,1505,5995,6020,995.69 ,,38,25,,0.9916 ,0.9748 ,0.9958 ,0.0252 ,0.0042 ,0.9832 ,0.9937 ,0.9790 ,
152,0.0165 ,0.0048 ,0.0028 ,0.0025 ,0.0031 ,0.0033 ,1452,1505,5986,6020,995.09 ,,53,34,,0.9884 ,0.9648 ,0.9944 ,0.0352 ,0.0056 ,0.9771 ,0.9912 ,0.9709 ,
153,0.0169 ,0.0050 ,0.0027 ,0.0027 ,0.0031 ,0.0034 ,1455,1505,5988,6020,995.00 ,,50,32,,0.9891 ,0.9668 ,0.9947 ,0.0332 ,0.0053 ,0.9785 ,0.9917 ,0.9726 ,
154,0.0163 ,0.0043 ,0.0029 ,0.0026 ,0.0031 ,0.0034 ,1463,1505,5991,6020,996.04 ,,42,29,,0.9906 ,0.9721 ,0.9952 ,0.0279 ,0.0048 ,0.9806 ,0.9930 ,0.9763 ,
155,0.0168 ,0.0047 ,0.0027 ,0.0027 ,0.0032 ,0.0035 ,1458,1505,5985,6020,996.00 ,,47,35,,0.9891 ,0.9688 ,0.9942 ,0.0312 ,0.0058 ,0.9766 ,0.9922 ,0.9726 ,
156,0.0170 ,0.0050 ,0.0028 ,0.0026 ,0.0032 ,0.0034 ,1455,1505,5987,6020,995.49 ,,50,33,,0.9890 ,0.9668 ,0.9945 ,0.0332 ,0.0055 ,0.9778 ,0.9917 ,0.9723 ,
157,0.0161 ,0.0041 ,0.0029 ,0.0025 ,0.0031 ,0.0034 ,1463,1505,5993,6020,996.17 ,,42,27,,0.9908 ,0.9721 ,0.9955 ,0.0279 ,0.0045 ,0.9819 ,0.9930 ,0.9770 ,
158,0.0166 ,0.0044 ,0.0028 ,0.0027 ,0.0031 ,0.0035 ,1461,1505,5987,6020,995.93 ,,44,33,,0.9898 ,0.9708 ,0.9945 ,0.0292 ,0.0055 ,0.9779 ,0.9927 ,0.9743 ,
159,0.0175 ,0.0057 ,0.0026 ,0.0028 ,0.0030 ,0.0034 ,1455,1505,5980,6020,995.71 ,,50,40,,0.9880 ,0.9668 ,0.9934 ,0.0332 ,0.0066 ,0.9732 ,0.9917 ,0.9700 ,
160,0.0172 ,0.0055 ,0.0027 ,0.0025 ,0.0032 ,0.0033 ,1441,1505,5987,6020,995.68 ,,64,33,,0.9871 ,0.9575 ,0.9945 ,0.0425 ,0.0055 ,0.9776 ,0.9894 ,0.9674 ,
161,0.0162 ,0.0049 ,0.0028 ,0.0024 ,0.0030 ,0.0032 ,1453,1505,5976,6020,995.60 ,,52,44,,0.9872 ,0.9654 ,0.9927 ,0.0346 ,0.0073 ,0.9706 ,0.9914 ,0.9680 ,
162,0.0172 ,0.0052 ,0.0028 ,0.0026 ,0.0030 ,0.0035 ,1460,1505,5994,6020,995.99 ,,45,26,,0.9906 ,0.9701 ,0.9957 ,0.0299 ,0.0043 ,0.9825 ,0.9925 ,0.9763 ,
163,0.0167 ,0.0051 ,0.0027 ,0.0025 ,0.0031 ,0.0034 ,1450,1505,5980,6020,995.50 ,,55,40,,0.9874 ,0.9635 ,0.9934 ,0.0365 ,0.0066 ,0.9732 ,0.9909 ,0.9683 ,
