epoch,loss,calssify loss,loss z,loss y,loss x,loss d,true positive,total positive,true negative,total negative,time,,false negative,false positive,,ACC,TPR,TNR,FPR,FNR,PPV,NPV,F1_Score
65,0.019279353,0.0067820437,0.002631329,0.0026287434,0.003187033,0.0040502036,1539.0,1599.0,6355.0,6396.0,1059.369,,60.0,41.0,,0.9873671,0.96247655,0.99358976,0.00641024112701416,0.03752344846725464,0.97405064,0.9906469,0.9682289707061376
66,0.018877711,0.0067403624,0.002536208,0.0027473944,0.0031111927,0.0037425547,1527.0,1599.0,6357.0,6396.0,1058.117,,72.0,39.0,,0.98611635,0.95497185,0.99390244,0.006097555160522461,0.04502815008163452,0.9750958,0.98880076,0.9649289299747797
67,0.018726926,0.006374266,0.002634423,0.0026601902,0.0030373796,0.0040206676,1536.0,1599.0,6358.0,6396.0,1059.031,,63.0,38.0,,0.9873671,0.9606004,0.9940588,0.005941212177276611,0.03939962387084961,0.9758577,0.9901884,0.9681688613798363
68,0.019712256,0.0073041636,0.002815317,0.0025988813,0.0029668945,0.0040269988,1527.0,1599.0,6340.0,6396.0,1058.103,,72.0,56.0,,0.98399,0.95497185,0.99124455,0.00875544548034668,0.04502815008163452,0.9646241,0.9887711,0.9597737353734501
69,0.0186143,0.0063930647,0.0027223695,0.002562725,0.003068909,0.003867232,1540.0,1599.0,6357.0,6396.0,1058.831,,59.0,39.0,,0.98774236,0.9631019,0.99390244,0.006097555160522461,0.03689807653427124,0.97530085,0.99080426,0.9691630042641367
70,0.018022696,0.005868227,0.002670291,0.0026380278,0.002930484,0.0039156675,1540.0,1599.0,6361.0,6396.0,1058.551,,59.0,35.0,,0.9882426,0.9631019,0.9945278,0.0054721832275390625,0.03689807653427124,0.9777778,0.99081,0.9703843905629281
71,0.018261608,0.0060715904,0.0025866826,0.0024749206,0.0028857156,0.0042426973,1543.0,1599.0,6360.0,6396.0,1058.352,,56.0,36.0,,0.9884928,0.9649781,0.9943715,0.005628526210784912,0.03502190113067627,0.97720075,0.9912718,0.9710509528591544
72,0.018370217,0.0058255596,0.0026048925,0.002756361,0.0032146892,0.003968716,1540.0,1599.0,6360.0,6396.0,1057.825,,59.0,36.0,,0.9881176,0.9631019,0.9943715,0.005628526210784912,0.03689807653427124,0.97715735,0.99080855,0.9700787794403
73,0.018404573,0.0064794794,0.0025660563,0.0025519696,0.0030972473,0.0037098215,1533.0,1599.0,6359.0,6396.0,1057.953,,66.0,37.0,,0.98711693,0.9587242,0.99421513,0.005784869194030762,0.04127579927444458,0.9764331,0.9897276,0.9674976264803236
74,0.01933743,0.007179982,0.0026563862,0.0025473894,0.0030970273,0.0038566464,1533.0,1599.0,6338.0,6396.0,1057.959,,66.0,58.0,,0.98449033,0.9587242,0.9909318,0.009068191051483154,0.04127579927444458,0.96354496,0.98969394,0.9611285765687191
75,0.017751586,0.0056989943,0.0025804332,0.002534374,0.0031052304,0.003832554,1536.0,1599.0,6361.0,6396.0,1058.03,,63.0,35.0,,0.98774236,0.9606004,0.9945278,0.0054721832275390625,0.03939962387084961,0.9777212,0.990193,0.969085205125272
